date,inventory_payment,shipping_cost,processing_fee,marketing_expense,platform_fee,fixed_costs,total_outflows
2018-01-19,0.0,5254.01,1657.8114000000003,6953.010000000001,3476.5050000000006,1666.6666666666667,19008.00306666667
2018-01-20,0.0,4529.28,1427.16455,5354.126,2677.063,1666.6666666666667,15654.300216666667
2018-01-21,0.0,4047.35,1062.7606500000002,5556.68,2778.34,1666.6666666666667,15111.797316666667
2018-01-22,0.0,6203.17,1121.6156,8643.122000000001,4321.561000000001,1666.6666666666667,21956.13526666667
2018-01-23,0.0,5501.37,1029.15855,7966.580000000001,3983.2900000000004,1666.6666666666667,20147.06521666667
2018-01-24,0.0,5113.56,1111.9325000000001,7296.103999999999,3648.0519999999997,1666.6666666666667,18836.315166666667
2018-01-25,0.0,5022.83,1506.1830000000002,6946.85,3473.425,1666.6666666666667,18615.95466666667
2018-01-26,0.0,5207.5199999999995,1406.8131000000003,7799.536,3899.768,1666.6666666666667,19980.303766666668
2018-01-27,0.0,3020.0099999999998,1174.2542000000003,4913.724,2456.862,1666.6666666666667,13231.516866666667
2018-01-28,0.0,3322.4,1136.5599000000002,5407.626,2703.813,1666.6666666666667,14237.065566666666
2018-01-29,0.0,5434.46,1370.66825,7091.416000000001,3545.7080000000005,1666.6666666666667,19108.91891666667
2018-01-30,0.0,5597.62,929.0620500000001,6889.853999999999,3444.9269999999997,1666.6666666666667,18528.129716666666
2018-01-31,0.0,4967.98,1089.1076,7459.012,3729.506,1666.6666666666667,18912.272266666667
2018-02-01,0.0,5318.49,1156.3489000000002,7067.084,3533.542,1666.6666666666667,18742.131566666667
2018-02-02,0.0,4728.82,1140.91355,6471.46,3235.73,1666.6666666666667,17243.590216666667
2018-02-03,0.0,4082.17,1337.42595,5433.678,2716.839,1666.6666666666667,15236.779616666665
2018-02-04,0.0,4181.48,1163.6821,5584.860000000001,2792.4300000000003,1666.6666666666667,15389.118766666666
2018-02-05,0.0,5740.58,1013.1985500000001,8521.366,4260.683,1666.6666666666667,21202.49421666667
2018-02-06,0.0,5690.52,1043.3836000000001,7919.960000000001,3959.9800000000005,1666.6666666666667,20280.510266666668
2018-02-07,0.0,4981.1,1244.0757,7221.888000000001,3610.9440000000004,1666.6666666666667,18724.67436666667
2018-02-08,0.0,4452.68,1494.7086000000002,6306.262000000001,3153.1310000000003,1666.6666666666667,17073.44826666667
2018-02-09,0.0,4056.43,1274.2488500000002,6928.774000000001,3464.3870000000006,1666.6666666666667,17390.506516666668
2018-02-10,0.0,3753.09,1280.1001500000002,4868.416,2434.208,1666.6666666666667,14002.480816666666
2018-02-11,0.0,3407.64,1001.0301000000001,5155.636,2577.818,1666.6666666666667,13808.790766666667
2018-02-12,0.0,4281.13,1004.4870500000002,5513.858,2756.929,1666.6666666666667,15223.070716666667
